사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
승철헬스,2000-08-04,,,,20020731.0,폐업,부산광역시 서구 동대신동3가 505-2번지,부산광역시 서구 구덕로328번길 8  (동대신동3가),부산광역시 서구 구덕로328번길 8  (동대신동3가),1,2002-07-31,2002,2000
굿모닝헬스,2005-03-11,,,,20110217.0,폐업,부산광역시 수영구 망미동 823-31번지 2층,"부산광역시 수영구 연수로 278  (망미동,2층)","부산광역시 수영구 연수로 278  (망미동,2층)",1,2011-02-17,2011,2005
바른몸 소도구 운동센터,2015-07-30,,,,20180605.0,폐업,부산광역시 사하구 괴정동 1019-1번지,부산광역시 사하구 낙동대로 198 (괴정동),부산광역시 사하구 낙동대로 198 (괴정동),1,2018-06-05,2018,2015
남일헬스,1990-12-29,,,,20060926.0,폐업,부산광역시 서구 서대신동2가 420-2번지,부산광역시 서구 고운들로 181  (서대신동2가),부산광역시 서구 고운들로 181  (서대신동2가),1,2006-09-26,2006,1990
신화헬스,2002-11-19,,,,20180928.0,폐업,부산광역시 서구 토성동4가 2-9번지,부산광역시 서구 구덕로 119 (토성동4가),부산광역시 서구 구덕로 119 (토성동4가),1,2018-09-28,2018,2002
드림헬스,2002-05-01,,,,20040430.0,폐업,부산광역시 서구 동대신동2가 422-2번지,부산광역시 서구 구덕로296번길 20  (동대신동2가),부산광역시 서구 구덕로296번길 20  (동대신동2가),1,2004-04-30,2004,2002
사이언스헬스,2002-05-14,,,,20180124.0,폐업,부산광역시 서구 동대신동2가 58번지,부산광역시 서구 보수대로 198-1 (동대신동2가),부산광역시 서구 보수대로 198-1 (동대신동2가),1,2018-01-24,2018,2002
딸라소휘트니스,2004-03-26,,,,20200330.0,폐업,부산광역시 서구 서대신동2가 96번지,부산광역시 서구 구덕로 299 (서대신동2가),부산광역시 서구 구덕로 299 (서대신동2가),1,2020-03-30,2020,2004
파워짐헬스,2004-06-25,,,,20130419.0,폐업,부산광역시 서구 남부민동 456-6번지,부산광역시 서구 천마로 87 (남부민동),부산광역시 서구 천마로 87 (남부민동),1,2013-04-19,2013,2004
대명탕헬스,2005-03-19,,,,20070913.0,폐업,부산광역시 서구 남부민동 23-69번지,부산광역시 서구 천마로193번길 6  (남부민동),부산광역시 서구 천마로193번길 6  (남부민동),1,2007-09-13,2007,2005
